# Zn liquid config: 64 atoms, box = 10.1883 Ang
# density = 6.57 g/cm^3
ATOMIC_POSITIONS (crystal)
  Zn  0.5731306569  0.5284911452  0.7636502398
  Zn  0.8116927670  0.5102288552  0.7793396724
  Zn  0.7961133045  0.5947550043  0.4085780469
  Zn  0.4687542071  0.8111059664  0.8652768703
  Zn  0.6298429327  0.0469116438  0.0548873170
  Zn  0.1198799089  0.7023094661  0.0440755827
  Zn  0.1539251348  0.1063713130  0.1253895793
  Zn  0.7778102931  0.1745759793  0.7097270601
  Zn  0.3733263115  0.0354424329  0.4954120799
  Zn  0.3584362243  0.6921962425  0.2103198557
  Zn  0.0135702786  0.9747610633  0.7233167300
  Zn  0.7071529247  0.8184107479  0.3191302529
  Zn  0.4363068654  0.3749385017  0.8742889538
  Zn  0.6121549969  0.5302470386  0.1412420163
  Zn  0.3830267690  0.8992742536  0.0967885073
  Zn  0.8120834195  0.6768242306  0.1141100557
  Zn  0.6228199008  0.2966468833  0.0761805078
  Zn  0.2333405525  0.1817156099  0.4163013192
  Zn  0.3632054423  0.6128994828  0.6932884682
  Zn  0.7730180700  0.1595350650  0.3093462114
  Zn  0.4886055825  0.1718170958  0.2083861597
  Zn  0.2935131816  0.7703061260  0.4431238223
  Zn  0.1210949342  0.4499482185  0.4756281600
  Zn  0.1433401864  0.4503460065  0.8980380757
  Zn  0.4711964210  0.3499922951  0.3715524507
  Zn  0.9090620326  0.4488659483  0.2236056833
  Zn  0.6114244876  0.9343473897  0.6104197574
  Zn  0.7933830678  0.8665126108  0.8827351540
  Zn  0.0938559113  0.8879584212  0.3159574333
  Zn  0.2113035452  0.1632506495  0.6455485264
  Zn  0.9976779484  0.6588093144  0.8613530087
  Zn  0.8164387882  0.3353745350  0.9669898605
  Zn  0.6319223136  0.3248767052  0.6338506327
  Zn  0.1429742049  0.5086938971  0.2618795236
  Zn  0.0524610826  0.7958388999  0.5799683408
  Zn  0.5580716215  0.6276484791  0.4042040117
  Zn  0.2871110009  0.1498094621  0.9295378337
  Zn  0.7761015159  0.7186361988  0.7015725503
  Zn  0.4958328745  0.1048443551  0.8587691040
  Zn  0.9329362545  0.3408483710  0.5529854996
  Zn  0.3924607520  0.4774329700  0.1840359660
  Zn  0.0330195197  0.2604024631  0.2801508375
  Zn  0.9121289628  0.9538336750  0.1222122174
  Zn  0.1868774017  0.9296937484  0.9201117790
  Zn  0.8510669281  0.9147558309  0.5500070321
  Zn  0.0250562241  0.2953895300  0.0483489952
  Zn  0.0474340504  0.2417868219  0.7693267801
  Zn  0.9712344705  0.6557530904  0.2954556743
  Zn  0.5206664220  0.9472985946  0.3288007959
  Zn  0.3785414863  0.3570954354  0.5817095955
  Zn  0.0658704315  0.0687885930  0.4993792784
  Zn  0.6245639697  0.7243748148  0.0051587865
  Zn  0.8882980255  0.1161323387  0.9316169372
  Zn  0.7204203352  0.3953025588  0.3751361206
  Zn  0.3489897842  0.5464952738  0.4305048177
  Zn  0.2897245536  0.3228484294  0.0662647349
  Zn  0.9010015097  0.9826706012  0.3486869561
  Zn  0.2012690184  0.7271570837  0.7932472067
  Zn  0.9474393584  0.5582185208  0.5691226126
  Zn  0.3417114242  0.5696625643  0.9122371690
  Zn  0.3177463876  0.9447399005  0.7356700865
  Zn  0.5857909513  0.1390652662  0.4524663640
  Zn  0.1261408121  0.5414379468  0.7020676046
  Zn  0.5596547418  0.6999059214  0.6206364012
