mp_id,formula,natom_prim,u2_0K_A2,u2_300K_A2,d_min_A,delta_nuc_300K,q300
149,Si,2,0.002498311566602412,0.006947750939096096,2.353238947834915,0.001254619941872685,0.35958565419264193
22862,NaCl,2,0.0047501659363921546,0.0203621165034959,2.79977964,0.0025976175866100977,0.23328448865208168
25,N2,8,0.036066990432598464,1.6577490731028088,1.1113637729526482,1.3421662742469873,0.02175660419166568
39,Tl,1,0.0006660280836095872,0.04216842482889083,3.3402099347884953,0.0037795478825850878,0.01579447385839444
111,Ne,1,0.036463332697509045,1.4417687381613773,3.2294170071006008,0.1382443364633652,0.02529069450070688
147,Se,6,0.0023172649852716536,0.01744396148755539,2.440021743076951,0.002929933250813165,0.13284052403605695
154,N2,8,0.035835860333457877,1.4456365619849976,1.1113684355305427,1.1704234310785653,0.024788983120523602
160,B,12,0.002552241232366792,0.0033432964773414684,1.6684745492486621,0.0012009798420787889,0.7633906384504344
165,Si,4,0.0025114867544254638,0.006964389615599305,2.34868534596776,0.0012625058031348025,0.3606183589729196
190,ReO3,4,0.002428175178197814,0.0064698447770447235,1.882783389999999,0.0018251272305321135,0.37530655863848233
200,LaP7,32,0.0024001931401030825,0.007846261164955312,2.1707709354521114,0.0016650786925535121,0.3059027847331096
209,Er2Se3,20,0.0015776278373423856,0.008883250155059938,2.7988377688101864,0.001134008841039746,0.1775957909328673
216,Sc2O3,40,0.00228548303977122,0.00426241221570474,2.0797646659630122,0.0009854328979479324,0.536194747037938
218,Sm2O3,40,0.0022088808891418993,0.005103469604625122,2.3097964263624493,0.0009565730086879123,0.432819446429162
223,GeO2,9,0.003169149842580396,0.015614651417544688,1.7510520026164842,0.005092537147158753,0.20296001222412982
224,WS2,6,0.0015089222782418501,0.005648347339459237,2.399507342383829,0.0009810185714331015,0.2671440312638974
226,FeS2,12,0.001463370320329942,0.002768412167473936,2.1783165825804853,0.0005834299964671348,0.5285955384545243
230,SbO2,24,0.002525052500527083,0.006649159714445736,1.966600921381387,0.0017192312172596457,0.3797551283121145
239,BaS3,8,0.0029099315354864284,0.013162418208975813,2.0771818022480364,0.0030506098425931026,0.2210787933711198
241,CdF2,3,0.003113907598377103,0.009974003308304578,2.336606258785547,0.001826831269091886,0.31220238274679474
252,BeTe,2,0.0030363650837563084,0.008714693370528968,2.430461844193099,0.0014752801397080787,0.34841903835935034
254,NdF3,24,0.003255658122086436,0.011216219063463024,2.340016212694568,0.0020483716198931496,0.29026342153852747
277,Zr3N4,28,0.002107971045191419,0.004472591521644477,2.058275831663859,0.0010557281142248868,0.471308643990892
286,YbSe,2,0.0014879340912168143,0.008044458348861812,2.898588505,0.0009574666951379432,0.18496386290909667
306,B2O3,15,0.003261890057050764,0.008875680264132896,1.3691488659056295,0.00473478547735784,0.36750873848309273
315,PbF2,3,0.003960311059915065,0.015044868016201134,2.551700460047992,0.0023106225015782863,0.2632333534365597
334,LaF3,24,0.0036849825902524037,0.016298539446294703,2.3832541489715826,0.002869511518636956,0.22609281048739277
341,PbF4,5,0.005085318812487678,0.025281248489584976,1.9797446714746267,0.0064503035346321295,0.20114982907520007
352,HfO2,12,0.002017665798546286,0.004142279066290212,2.033654479027213,0.0010015785589966122,0.4870907455188164
361,Cu2O,6,0.0036431551100003057,0.038950295790278255,1.824295434170944,0.011703625532094168,0.09353343886311677
375,UO3,4,0.004028139446460861,0.014563269780421018,2.063855725,0.003419008857731277,0.2765958131103446
380,ZnSe,4,0.002094590632826469,0.011844263545141934,2.4393254962130064,0.001990529196218615,0.1768443115811612
384,MgP4,10,0.002813007923942759,0.008937691292516372,2.183176696341154,0.0018751999216273668,0.31473540894147034
390,TiO2,6,0.002801273859244332,0.007501288137218671,1.9317054780311451,0.002010268303017778,0.37343904246864307
401,Sc2S3,20,0.002405062270908629,0.007359808667802449,2.5411255496151757,0.0011397622760564315,0.3267832601994465
402,CdP2,12,0.0022939390502246713,0.010291524054979158,2.170340748588879,0.0021848611611679954,0.22289595185028374
406,CdTe,2,0.002088466886864552,0.020313559500734765,2.806644707682275,0.002578761351640773,0.10281146870340523
409,NaS,12,0.004861618635538303,0.023616368049452906,2.122726836511318,0.005241129462627914,0.20585801446513818
422,BeS,2,0.0032099761586045564,0.006223536119811291,2.0960547254937434,0.0014165502324070753,0.5157801122719102
438,Nd2S3,20,0.002032130062465778,0.007087814435511142,2.8052078824816076,0.000900704303375277,0.2867075712767626
463,KF,2,0.004416795902873749,0.016645300101496487,2.684123655,0.0023103968861720317,0.26534792860097844
467,Th3N4,7,0.0024556322256523897,0.007291320113553485,2.2997728797880965,0.0013785936355845806,0.3367884261572514
468,AlF3,8,0.0030201253332158735,0.007329589497876105,1.8079037289025148,0.0022424824409204157,0.4120456314901421
470,GeO2,6,0.0020100647456442284,0.003669344732924464,1.8850037596935167,0.0010326759762510297,0.5477993734435
473,Na3P11,56,0.0043133224939937735,0.03273615082986783,2.1716298974875357,0.006941542529542233,0.1317602217930393
484,Te3As2,10,0.002182148523894379,0.04220017661717186,2.6512237348417464,0.0060037349425957455,0.05170946424443236
486,NiP2,6,0.0019555665660792084,0.005760342272474616,2.1768918789015625,0.0012155548796007488,0.339487911234675
510,TaO2,48,0.002396215181606924,0.03240625744874452,1.956257099213813,0.008467925256940881,0.07394297800037251
524,Ba3As14,34,0.0023246077977620715,0.020052913400198644,2.398356060810495,0.0034861828345598414,0.11592369404732202
539,Ga2S3,10,0.0025950301474358503,0.012015170140014879,2.2006301166297204,0.002481051736839476,0.21597947571241274
557,TeO2,12,0.0030751344275038966,0.01027615816382293,1.9189773346919399,0.0027905582314920623,0.2992494255615746
588,GaF3,8,0.0031738000615603133,0.009228023383666647,1.9006170164970202,0.002554579718383186,0.343930647941124
602,Te2Mo,6,0.0012296725464236156,0.007695793106916624,2.7066839119274895,0.0010504570509000785,0.15978503181412745
604,Nb2O5,14,0.002667017389514852,0.006437291527243031,1.8247226747775653,0.0019333453578158576,0.414307380398707
617,PtO2,3,0.0018932265122589703,0.010819147157368918,2.029483516502384,0.002626769538238188,0.17498851662901121
624,B6As,14,0.002373682847858112,0.003511959163408524,1.7273109349506663,0.0011770865915206004,0.6758856630765432
634,HgS,6,0.002456284463719893,0.018530544239926103,2.4019226162981995,0.0032119601745758722,0.13255328240319877
643,ThO2,3,0.0022017834250166743,0.00446678917295574,2.4081995007147787,0.0007702124434497731,0.4929230683971865
648,Na2S,3,0.004448903361624089,0.016268371779449543,2.8149583307221273,0.0020530529380562265,0.2734694917191413
661,AlN,4,0.0020605827890768434,0.003435349232687441,1.8914132506993293,0.0009602803429318447,0.599817558421817
665,SnSe2,3,0.002023413007025691,0.02140567314879997,2.7146342975924656,0.002904733049779067,0.09452695054063864
667,Tl2S,27,0.0026812782695402335,0.02919047806062656,2.816586647843839,0.0036795522581004386,0.09185455147296347
672,CdS,4,0.002525379978974157,0.016469097346598502,2.5208583916134923,0.0025916293913770256,0.15334052169506085
676,CaN6,14,0.004429065691559822,0.013881327600676624,1.1794803928112731,0.00997813906121683,0.31906643362728027
679,Er2O3,40,0.002014635744524432,0.004417326403649683,2.210823289481256,0.000903756490628756,0.45607581609996034
682,NaF,2,0.004104046501845804,0.01154038568907703,2.314075115,0.0021550900381995513,0.3556247262801868
684,BaS2,6,0.0030064054434859023,0.016477384166582915,2.1159286271203115,0.003680325566632302,0.18245647568156273
691,SnSe,8,0.002188223298251819,0.016375558657711994,2.7529850989164864,0.0021606698092293017,0.13362739824581712
700,GeSe,8,0.002377726492232477,0.015877360909720434,2.562469721718264,0.0024180252520104137,0.14975577526720993
706,HgF,4,0.0035593674303575607,0.02380176202009821,2.159874349942923,0.005102137221730344,0.1495421821019818
713,KAs,16,0.0038036267660838743,0.030973352890497925,2.4792000398585894,0.005039240435663261,0.12280319730095347
717,B2O3,10,0.0022597510252779316,0.0034010659734793644,1.3819561590630778,0.0017808466549210664,0.6644243431026883
720,TlF,8,0.0041076738196577246,0.033093937091961075,2.447196468577641,0.005525998497271859,0.1241216422284047
726,SeO2,24,0.0038542270498042952,0.03993081363148208,1.655255825817101,0.01457397127806991,0.09652262749701555
730,P2Pt,12,0.0013052485329931606,0.0029122192311411468,2.1851411141497263,0.0006099090652584659,0.4481972095492625
733,GeO2,9,0.0031654180130768696,0.012937311064246724,1.7510325243974902,0.004219447567971649,0.24467356449554276
736,Li3P,8,0.007511098144268665,0.018629544468952857,2.4239109107302768,0.0031708005764193034,0.4031820615252464
743,RbN3,8,0.005620803813082056,0.02999451613681513,1.1860107209728794,0.02132380148027128,0.18739438194114116
757,Li3As,8,0.007678825458214237,0.021595528888810386,2.497071576116878,0.0034633936979215243,0.3555747811387468
766,As2Ru,6,0.0011189577898694165,0.0033335167967763497,2.4312006718571735,0.0005639765332330644,0.33566886207128027
804,GaN,4,0.001811128500749923,0.003749158732666412,1.9445614107471823,0.000991494939512156,0.48307597247605555
812,Ho2O3,40,0.00204328020211905,0.004512611408990616,2.224406924161605,0.0009120097064109805,0.4527932979223869
821,NbO2,48,0.002638738050919973,0.01479289739018295,1.9489876357129778,0.00389435086277448,0.17837871657726267
827,KN3,8,0.005647225822068193,0.025766052824751248,1.1851326790529957,0.018344840733120756,0.21917310581011404
830,GaN,2,0.0018063416921306698,0.00370696173290515,1.9465728388374226,0.000978310656816665,0.487283609133736
841,Li2O2,8,0.005185680479832409,0.009798428375861883,1.5298375235961235,0.004186641791908515,0.5292359428382585
844,Ca3N2,40,0.0029387832261912688,0.00746533128449634,2.432775091600679,0.001261377743565551,0.39365744321278817
856,SnO2,6,0.0023213311713207703,0.005228832527255109,2.0671490608219787,0.0012236610694087641,0.44394827319882824
870,TlN3,8,0.006647874301523762,0.06008249682390803,1.1864576169609495,0.042681877452993545,0.11064577294461637
878,Ho2S3,30,0.0020577481175303486,0.008831412138072972,2.5920781185088027,0.0013144194617103597,0.23300329385141258
886,Ga2O3,10,0.002236757350464689,0.005290893403148126,1.8387155852435189,0.0015649479492143446,0.422756079178197
905,LaF3,24,0.003581059686375201,0.012748734061396545,2.394702552176002,0.0022231251289842368,0.28089531628232256
909,As2Se3,20,0.0023415297037945293,0.017696014639442707,2.399849464643004,0.0030726101987649094,0.13231960706991538
913,CdP2,24,0.0022903874341706227,0.010205281918721764,2.1691190798228135,0.0021689933353670142,0.22443156910431528
917,CaC2,6,0.004495458280504296,0.01407395088860759,1.258509541491136,0.008885932423186513,0.3194169367283514
927,CuP2,12,0.002192117462147815,0.0071701574988945575,2.193328674107429,0.0014904632176084526,0.30572793728530784
938,GeTe,2,0.0021269949146287327,0.016005331103920318,2.8157044930000223,0.0020187870732733103,0.13289290304701976
942,AuF3,24,0.004583841076592988,0.032594891982544845,1.9046889251156902,0.008984655571333771,0.14063065706883515
953,NbZn3,4,0.0016566114748479133,0.0059104749432826766,2.7450862537944047,0.0007843508841921882,0.2802839857616978
971,K2O,3,0.0044121449618756544,0.01902079903625889,2.77912899348282,0.002462699073252887,0.2319642278678666
981,SrF2,3,0.003177855692679321,0.00925478409619395,2.4973495111101056,0.0014839102575752554,0.3433743736913561
984,BN,4,0.003129686576252797,0.02061451411880845,1.4467534455324653,0.009848816646001061,0.15181956548746914
988,Si3N4,14,0.002055844464262331,0.00757808913891845,1.733688552743731,0.002521259491766961,0.2712879759759256
1000,BaTe,2,0.0019435542953999696,0.015569365591906565,3.484836385,0.0012820534495587325,0.12483195181763146
1022,K2S,3,0.004265581620459149,0.02227225283872882,3.197604939357275,0.0021782841727172233,0.19151998907994644
1029,BaF2,3,0.003423323933566482,0.01139883347019218,2.6750720704916433,0.001592903383674086,0.30032230425318834
1039,MgTe,4,0.0032057975902411713,0.021914639140393443,2.7887985678490974,0.0028177342453616304,0.14628566638508728
1045,Nd2O3,40,0.002289455841254765,0.005402060075763441,2.3459557919284304,0.0009815665769413906,0.42381162170456055
1047,Ca3N2,10,0.0030166337987565938,0.008099879575006241,2.3866707464787735,0.0014219801766913133,0.37242946278670686
1056,Tb2O3,40,0.0020987258998295083,0.004702609820153777,2.2547817905384195,0.000924974816573857,0.4462896094069057
1070,CdSe,4,0.0022323986576732514,0.019654439824176376,2.6325370952084417,0.0028360355552295873,0.11358241077556636
1074,RbSi,64,0.0038083634225862272,0.027217084743533407,2.416219374983584,0.004661963624276247,0.13992547175689227
1087,SrS,2,0.0023652494379150283,0.008910468108917692,2.98971929,0.0009968726777664324,0.2654461481712573
1105,BaO2,3,0.003891063118178709,0.01269100585088856,1.4818269083887325,0.005779644026442965,0.3066000570716211
1138,LiF,2,0.005201802002581425,0.009677325104558926,1.997650165,0.002425026340328301,0.5375247753256619
1143,Al2O3,10,0.0020515214471946725,0.003242555135444412,1.8616445858503488,0.0009356077835882225,0.6326866811822149
1146,ThS2,12,0.0020477696332982815,0.007604618806476597,2.7732338509036665,0.0009887909068007365,0.26927972136542405
1153,Li2S,3,0.006088541162718855,0.01254412990478313,2.447394372887892,0.002094269792305211,0.48536974735866445
1154,Ho4C7,44,0.0025040112960811396,0.006011308204726152,1.3123344364912837,0.0034904381348038814,0.41655014362971116
1167,CF4,10,0.009524571381802445,0.22567683787989906,1.336284254284514,0.12638318208583987,0.04220447021183114
1175,SrS3,8,0.004019355096102376,0.11840941387274091,2.076833966955191,0.027452548981173112,0.033944556979414904
1186,ZrS2,3,0.0023468601570375423,0.01006711836460962,2.5489789047407845,0.001549432610905471,0.23312134337148505
1190,ZnSe,2,0.002066961219492166,0.011275685251261094,2.4394501183430077,0.001894781170507868,0.18331136187585526
1195,Ba3P14,34,0.0031446170951453687,0.01861726562439056,2.1583831319623683,0.003996306768678527,0.16890864419023985
1216,YbO,2,0.0019636476577970705,0.004770979598153296,2.32746051,0.0008807302585799425,0.4115816505602204
1217,KSi,64,0.004532998028507114,0.02542133170740991,2.4151005218552193,0.0043584079089400716,0.17831473506896642
1224,HgO,8,0.003138096439070244,0.020310324871362435,2.0521654225739363,0.004822721003866159,0.1545074467762434
1243,Ga2O3,10,0.0020743244962361023,0.004262591429541631,1.9313318038287357,0.0011427728739961723,0.4866346049166529
1244,SrGe2,24,0.0022591810325581266,0.013734682627546747,2.545727079587291,0.0021193122277750305,0.16448731243538428
1247,Sb2Ir,12,0.0009305383046964847,0.003997716367706286,2.6042279178785495,0.0005894595356652187,0.23276746499912068
1249,MgF2,6,0.0032571647967821254,0.008036334145382726,1.9882438041265693,0.00203291261396046,0.4053047991606383
1253,BaSe,2,0.0019342830156385297,0.011937777807611037,3.29104748,0.0011021867745005208,0.1620304085744761
1265,MgO,2,0.0024348309627057426,0.0041207573721843685,2.108629705,0.0009267794677850007,0.5908697704798537
1266,Na2Se,3,0.004304798562589956,0.018642639020217004,2.9323084189018687,0.0021681438640809673,0.23091143683689946
1270,Dy2S3,20,0.0018972322841758016,0.006470509920354565,2.7113765598408435,0.0008801543363001838,0.29321217454710874
1285,PtO2,6,0.001764893293138044,0.003517490872665466,2.0044857683592485,0.0008754412874057698,0.5017477960932568
1315,MgS,2,0.003041325499991161,0.008149369918208074,2.5905124,0.0012143746168663818,0.3731976251557744
1323,AlF3,64,0.0032400793654359383,0.00908290352682616,1.771440759906917,0.0028944858759971243,0.35672286465076214
1340,Ga2Se3,10,0.0021256186538625055,0.01619143066609573,2.341377323882966,0.002953536951365428,0.1312804716085697
1342,BaO,2,0.0033787161299795956,0.011463882042699547,2.76684848,0.0014974797401943235,0.29472704947546424
1346,B6O,14,0.0023504952450984678,0.003105930865550365,1.4866369433634736,0.0014053417312533609,0.7567764212555853
1378,LiC,4,0.006196396730990449,0.013078990975715543,1.25891959351531,0.008252361692953705,0.4737671845248328
1392,ZnP2,24,0.0022155623220465924,0.00779416701300805,2.1827266200602318,0.0016359537346941533,0.28425902580082474
1394,Rb2O,3,0.0039733164563211356,0.02441798958952167,2.930639917038429,0.002843053177187529,0.16272086781567713
1403,Sm2S3,20,0.0019857772303102064,0.0068890836369690425,2.767018003171172,0.0008997823869715157,0.2882498362559987
1413,P2Ru,6,0.0014486441027383038,0.003000229303511988,2.236862101386216,0.0005996198834676355,0.48284446160250477
1415,CaSe,2,0.0022940744862622064,0.009125684762141944,2.93586868,0.0010587470435848728,0.25138655849468006
1427,Lu2O3,40,0.001939714995689907,0.004163953954147264,2.1695558257859404,0.0008846352874967704,0.4658348812330085
1434,MoS2,3,0.00170190198432661,0.007889350306226827,2.3894639078606428,0.0013817844155211698,0.21572143690759302
1439,TiO2,12,0.0024836765378152504,0.004986401998685381,1.8719054446252748,0.0014230477500956414,0.498089913021463
1443,Sn3F8,22,0.004457888900511525,0.029014265429386673,1.9793502098634406,0.007405703098585632,0.15364472732769643
1477,BaSi2,24,0.002915912309114323,0.013391435639108348,2.397892551655199,0.0023289904140348,0.21774456359247193
1479,BP,2,0.0021376192197148174,0.0033496964513032765,1.9579875732745438,0.0008737467852371362,0.6381531135106667
1500,BaS,2,0.0024566398508582086,0.01106613434051529,3.18334455,0.0010920151005610122,0.22199620710042964
